"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1294176233471840256","x1377008115372191748",2021-03-30 21:21:32,"TheMitchSaga","Kevin Durant really from the DMV my goat <U+0001F927>","Twitter for iPhone",42,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TheMitchSaga/status/1377008115372191748","Mitch <U+0001F50D>","23","#SeizeTheDey <U+0001F42F> | #Nets <U+0001F3C0> | @timrefff <U+0001F9F8> | Best Vtuber @NyannNyanners <U+0001F49B>","https://t.co/h6nTIq4keg",FALSE,240,222,2,23471,15441,2020-08-14 07:37:24,FALSE,"https://t.co/h6nTIq4keg","https://anilist.co/user/TheMitchSaga/",,"https://pbs.twimg.com/profile_banners/1294176233471840256/1616927661",,"http://pbs.twimg.com/profile_images/1378259692976271361/k62TB5Vk_normal.jpg"
"x803611845655306240","x1377004350661361667",2021-03-30 21:06:35,"dejawntay","@MichaelRapaport @KDTrey5 this is why Kevin Durant is the GOAT","Twitter for Android",36,"x1376997269107470338","x241204643","MichaelRapaport",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x241204643 x35936474","MichaelRapaport KDTrey5","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dejawntay/status/1377004350661361667","nick!","A Never-ending State of Misery","<U+0001F1F5><U+0001F1F7> | sports and music | please do not mind my liked tweets | #BlackLivesMatter | #StopAsianHate",,FALSE,335,1938,1,6944,51326,2016-11-29 14:49:29,FALSE,,,,"https://pbs.twimg.com/profile_banners/803611845655306240/1617181211","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1371569217330421767/et9lqc4W_normal.jpg"
"x1306138844174209025","x1377002947096219648",2021-03-30 21:01:00,"_ta7szn","Kevin Durant is my GOAT https://t.co/ALFnUmXOfF","Twitter for iPhone",23,,,,TRUE,FALSE,2,0,,,,,"twitter.com/stoolpresident…","https://t.co/ALFnUmXOfF","https://twitter.com/stoolpresidente/status/1377000435018575881",,,,,,,,,,,"en","x1377000435018575881","Love Kevin Durant feeding it to Rappaport.   Rap will prob sue him now for being a meanie pants https://t.co/QDiG6DrM9i",2021-03-30 20:51:01,"Twitter for iPhone",54668,3224,"x43775786","stoolpresidente","Dave Portnoy",2447948,1321,86071,"Boston","El Presidente/3 time Bee Sting survivor. I own a ton of Penn Stock. I’m not a financial advisor. Don’t trust anything I say about stocks. Owner of DDTG Global",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_ta7szn/status/1377002947096219648","booze lightyear","","If you can kill them with kindness then im out here catching bodies - memphis glizzies",,FALSE,124,213,0,4282,2092,2020-09-16 07:52:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/1306138844174209025/1617403538",,"http://pbs.twimg.com/profile_images/1373674679534247940/tLqBuE_L_normal.jpg"
"x3236219389","x1376888591209562117",2021-03-30 13:26:36,"AltcoinsAnalyst","This is MASSIVE news! <U+0001F525><U+0001F525><U+0001F525> HUGE funding from Michael Jordan (The GOAT of NBA) and Kevin Durant (All star player) and others. $FLOW is the real future of sports NFT.

#NFT #NFTs #Bitcoin #NBA #NBATopShot #CryptoKitties https://t.co/555zwXY58T","Twitter for iPhone",216,,,,TRUE,FALSE,3,1,,,"NFT NFTs Bitcoin NBA NBATopShot CryptoKitties","FLOW","twitter.com/dapperlabs/sta…","https://t.co/555zwXY58T","https://twitter.com/dapperlabs/status/1376885046120906757",,,,,,,,,,,"en","x1376885046120906757","Excited to share that we have just announced a $305 million funding round to grow our ecosystem on our path to mainstream adoption <U+0001F973>

Learn more here <U+0001F447>

https://t.co/ZTDgaD9uij",2021-03-30 13:12:30,"Twitter Web App",860,171,"x974676150092947457","dapperlabs","Dapper Labs",57180,299,730,"Vancouver, British Columbia","Dapper Labs, the team that brought you @CryptoKitties, @hellodapper, @CHZWZRDS, @flow_blockchain and @nbatopshot, is putting more than cats on the blockchain",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AltcoinsAnalyst/status/1376888591209562117","Altcoins Analyst <U+0001F984>","","Full stack developer<U+0001F468><U+0001F3FB><U+200D><U+0001F4BB>| In #Crypto since 2018 | #DeFi + #NFTs believer | Gem <U+0001F48E> hunter | Trader. #Bitcoin #Altcoins $SXP $FLOW","https://t.co/eN7qIyg1ya",FALSE,219,153,3,230,419,2015-06-04 16:03:37,FALSE,"https://t.co/eN7qIyg1ya","https://accounts.binance.com/en/register?ref=NDJA2NVJ",,"https://pbs.twimg.com/profile_banners/3236219389/1615711589","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1365979958678491142/4ddjI6z1_normal.jpg"
"x3300803660","x1376694980811579394",2021-03-30 00:37:15,"junopappost","Respect to @Dame_Lillard who is not trying to build a superteam like Kevin Durant. @Dame_Lillard is the GOAT, a real player that like challenges. #NBA #Haiti","Twitter for iPhone",157,,,,FALSE,FALSE,1,0,,,"NBA Haiti",,,,,,,,,,,,,"x267425142 x267425142","Dame_Lillard Dame_Lillard","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/junopappost/status/1376694980811579394","Juno JEAN BAPTISTE","","Journaliste / Lauréat du prix Philippe Chaffanjon 2015 en France / Fondateur & rédacteur en chef du journal d’information numérique indépendant @papposthaiti","https://t.co/5zFdCtMxlh",FALSE,6424,498,16,5154,4018,2015-07-29 18:46:20,FALSE,"https://t.co/5zFdCtMxlh","http://pappost.com",,"https://pbs.twimg.com/profile_banners/3300803660/1578314513","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1363782525785690113/gHByy7fi_normal.jpg"
"x1354844449445187585","x1376595013195460609",2021-03-29 18:00:01,"hawksupnext","The people that think Kevin Durant was never the best player and lebrons the goat never watched basketball before 2010. The goat debate shouldn’t be a debate","Twitter for iPhone",157,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hawksupnext/status/1376595013195460609","Gavin","Atlanta, GA","@ATLanden11 @yetie_65 @nunn_lil @abuse_pig @SuperiorNBA","https://t.co/e1bmeojuYu",FALSE,555,1196,10,2289,4636,2021-01-28 17:31:22,FALSE,"https://t.co/e1bmeojuYu","https://www.nba.com/hawks/",,"https://pbs.twimg.com/profile_banners/1354844449445187585/1617124633",,"http://pbs.twimg.com/profile_images/1378039410743255044/MwHD0DZI_normal.jpg"
"x1141067073117970433","x1376239180351729667",2021-03-28 18:26:04,"GQSports","The result is some truly great insight into how one of the greatest basketball players of all time thinks about this era of the NBA and how the game is played https://t.co/bwLYiVKuXC","SocialFlow",182,,,,FALSE,FALSE,0,0,,,,,"gq.mn/KiSOKus","https://t.co/bwLYiVKuXC","http://gq.mn/KiSOKus",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GQSports/status/1376239180351729667","GQ Sports","","The real action is off the field.","https://t.co/5fuXGUasbm",FALSE,1958,144,17,2305,98,2019-06-18 19:36:05,FALSE,"https://t.co/5fuXGUasbm","https://www.youtube.com/gqsports",,"https://pbs.twimg.com/profile_banners/1141067073117970433/1586379559",,"http://pbs.twimg.com/profile_images/1169339178032779264/G5R22_a1_normal.jpg"
"x1141067073117970433","x1376589611217076233",2021-03-29 17:38:33,"GQSports","Most people see KD's burner account as an embarrassing Twitter faux pas, but really it’s proof of his commitment level https://t.co/RaeHrFoCO2","SocialFlow",142,,,,FALSE,FALSE,0,0,,,,,"gq.mn/QCD8v1y","https://t.co/RaeHrFoCO2","http://gq.mn/QCD8v1y",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GQSports/status/1376589611217076233","GQ Sports","","The real action is off the field.","https://t.co/5fuXGUasbm",FALSE,1958,144,17,2305,98,2019-06-18 19:36:05,FALSE,"https://t.co/5fuXGUasbm","https://www.youtube.com/gqsports",,"https://pbs.twimg.com/profile_banners/1141067073117970433/1586379559",,"http://pbs.twimg.com/profile_images/1169339178032779264/G5R22_a1_normal.jpg"
"x1365923013959557121","x1376587890373824517",2021-03-29 17:31:43,"ARodsburner","@TheNBACentral Kevin Durant was never racist. My goat is @KDTrey5","Twitter for iPhone",50,"x464149622240604160","x1548977419","TheNBACentral",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x1548977419 x35936474","TheNBACentral KDTrey5","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ARodsburner/status/1376587890373824517","Aaron Rodgers Burner","Green Bay, WI owning tom Brady","#gopackgo Burner for the best QB in NFL history <U+0001F410> Never been Ratiod, Jaire is the best corner, Davante is the best receiver",,FALSE,293,282,1,2152,9037,2021-02-28 07:13:38,FALSE,,,,"https://pbs.twimg.com/profile_banners/1365923013959557121/1617346505",,"http://pbs.twimg.com/profile_images/1367861019561824259/b95V69Ps_normal.jpg"
"x247504950","x1376558394811822081",2021-03-29 15:34:31,"Owiekris","Just came out of retirement to tell ya'll Kevin Durant is my goat<U+0001F410> #scaryhours","Twitter for Android",78,,,,FALSE,FALSE,0,0,,,"scaryhours",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Owiekris/status/1376558394811822081","Khamai Leon","Camp nou","Humour me.

#SavedByGrace.

A #temsbaby stan account",,FALSE,1092,1094,6,25661,2610,2011-02-04 23:09:15,FALSE,,,,"https://pbs.twimg.com/profile_banners/247504950/1538219732","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1376609045231104002/SSGO9uvj_normal.jpg"
"x1363302327747293189","x1376437390286413826",2021-03-29 07:33:41,"5xChampCo","Man his press conference when he says “you know who I am..... I’m Kevin Durant” is GOAT shit lol https://t.co/w9FDVja5xE","Twitter for iPhone",96,,,,TRUE,FALSE,0,1,,,,,"twitter.com/kobebackup_/st…","https://t.co/w9FDVja5xE","https://twitter.com/kobebackup_/status/1376437085356298241",,,,,,,,,,,"en","x1376437085356298241","I love KD <U+0001F602><U+0001F602> https://t.co/uyzPyyryxx",2021-03-29 07:32:28,"Twitter for iPhone",5,2,"x387325101","KobeBackup_","<U+0001F64F><U+0001F3FD><U+0001F40D>",2120,1574,133527,"Houston","Whoever your favorite team is, Kobe dropped at least 40 on em",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/5xChampCo/status/1376437390286413826","Stimmy Hndrxx","","Back again... AND STILL....",,FALSE,107,104,1,3823,69,2021-02-21 01:39:49,FALSE,,,,"https://pbs.twimg.com/profile_banners/1363302327747293189/1615779919",,"http://pbs.twimg.com/profile_images/1363711732716363776/3IAqneKS_normal.jpg"
"x927035101460025344","x1376346968960729088",2021-03-29 01:34:23,"ShootDesignz","@KingJames You aren’t the goat, Kevin Durant is. He’s better than u lefraud","Twitter for iPhone",64,"x1376346816329883651","x23083404","KingJames",FALSE,FALSE,7,0,,,,,,,,,,,,,,,,"x23083404","KingJames","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShootDesignz/status/1376346968960729088","Shoot","","18 • Mathew 7:21",,FALSE,1106,233,2,15712,21283,2017-11-05 04:49:26,FALSE,,,,"https://pbs.twimg.com/profile_banners/927035101460025344/1591883567",,"http://pbs.twimg.com/profile_images/1299396468076208129/620GUeFx_normal.jpg"
"x21701757","x1376338336571342852",2021-03-29 01:00:05,"GQMagazine","Kevin Durant is the greatest (poster) of all time https://t.co/lg4zIhiU0h","SocialFlow",73,,,,FALSE,FALSE,17,1,,,,,"gq.mn/NAMYjZx","https://t.co/lg4zIhiU0h","http://gq.mn/NAMYjZx",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GQMagazine/status/1376338336571342852","GQ Magazine","","Big fits start here.","https://t.co/PMHPDdnP8Z",FALSE,1339871,855,7957,141304,15396,2009-02-23 22:27:40,TRUE,"https://t.co/PMHPDdnP8Z","http://instagram.com/gq",,"https://pbs.twimg.com/profile_banners/21701757/1615208442","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1084883526384869376/Gdm_hxUL_normal.jpg"
"x21701757","x1376177268930793475",2021-03-28 14:20:03,"GQMagazine","Kevin Durant brings an elite skill set and unparalleled commitment to posting https://t.co/Ma6N7D33XS","SocialFlow",101,,,,FALSE,FALSE,18,3,,,,,"gq.mn/uQflVRj","https://t.co/Ma6N7D33XS","http://gq.mn/uQflVRj",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GQMagazine/status/1376177268930793475","GQ Magazine","","Big fits start here.","https://t.co/PMHPDdnP8Z",FALSE,1339871,855,7957,141304,15396,2009-02-23 22:27:40,TRUE,"https://t.co/PMHPDdnP8Z","http://instagram.com/gq",,"https://pbs.twimg.com/profile_banners/21701757/1615208442","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1084883526384869376/Gdm_hxUL_normal.jpg"
